no,title,local_category,food_category_1st,food_category_2nd,dining_food_cate_1,dining_food_cate_2,information,isParking,isValet,isPet,isPackaging,isReservation,address,telephone,menu1,price1,menu2,price2,menu_URL,diningcode_Star,diningcode_Score,comment,comment_weight,rank_score,mon_business,mon_breaktime,tues_business,tues_breaktime,wed_business,wed_breaktime,thurs_business,thurs_breaktime,fri_business,fri_breaktime,sat_business,sat_breaktime,sun_business,sun_breaktime,latitude,longitude,img_file1,img_file2,closest_parking_name,closest_parking_address,closest_parking_latitude,closest_parking_longitude
583,마를리,성수,카페,케이크,케이크,카페,"예쁜, 아침식사, 점심식사, 저녁식사, 저녁, 아침",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 315-55,02-467-0303,아메리카노,"5,500원",카페라떼,"6,500원",https://www.diningcode.com/profile.php?rid=c9A6GfSJXHgn,3.9,78,45,0.9,273.78, 09:00 - 23:00,, 09:00 - 23:00,, 09:00 - 23:00,, 09:00 - 23:00,, 09:00 - 23:00,, 09:00 - 23:00,, 09:00 - 23:00,,37.54288184,127.0547847,C:\projects\blackmamba\media\583_01.jpg,C:\projects\blackmamba\media\583_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
193,시옹마오,성수동,중식,우육면,우육면,어향가지,"이국적/이색적, 점심식사, 저녁식사, 저녁, 점심, 바테이블",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 316-1,0507-1463-0138,어향가지,"15,300원",연태 하이볼,"8,000원",https://www.diningcode.com/profile.php?rid=bY8MdgzVYAwR,4.7,83,23,0.7,273.07,휴무일,, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 20:30, 15:00 - 17:30,37.54347081,127.0544402,C:\projects\blackmamba\media\193_01.jpg,C:\projects\blackmamba\media\193_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
330,대림창고,성수,카페,카페,카페,디저트,"시끌벅적한, 점심식사, 저녁식사, 저녁",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 322-32,0507-1390-9669,게이샤 시그니처,,대림창고 딸기우유,"9,000원",https://www.diningcode.com/profile.php?rid=TpMlBoL70Tge,3.7,82,70,0.9,273.06, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,,37.54183878,127.0564635,C:\projects\blackmamba\media\330_01.jpg,C:\projects\blackmamba\media\330_02.jpg,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,37.54307999,127.0606405
650,자연도소금빵in 성수,성수,카페,베이커리,베이커리,소금빵,"캐주얼한, 아침식사, 점심식사, 저녁식사, 저녁, 아침, 테이크아웃, 반려동물동반",FALSE,FALSE,TRUE,TRUE,FALSE,서울특별시 성동구 성수동2가 321-74 1층,02-463-2245,자연도소금빵,"12,000원",,,https://www.diningcode.com/profile.php?rid=jftm0RNQyfDp,4.7,72,33,0.8,270.72, 09:00 - 22:00,, 09:00 - 22:00,, 09:00 - 22:00,, 09:00 - 22:00,, 09:00 - 22:00,, 09:00 - 22:00,, 09:00 - 22:00,,37.5423021,127.0554581,C:\projects\blackmamba\media\650_01.jpg,C:\projects\blackmamba\media\650_02.jpg,뚝도시장 노상공영주차장,서울 성동구 성수동2가 335-166,37.53819962,127.0545791
570,로우 커피 스탠드,뚝섬역,카페,커피,커피,라떼,"가성비좋은, 아침식사, 점심식사, 아침, 테이크아웃, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 8-16,0507-1334-3343,카페라떼,"2,800원",아메리카노,"2,200원",https://www.diningcode.com/profile.php?rid=rgDb1D3r8B6Z,4.6,84,28,0.7,270.48, 08:00 - 16:40,, 08:00 - 16:40,, 08:00 - 16:40,, 10:00 - 16:40,, 08:00 - 16:40,, 10:00 - 16:40,, 10:00 - 16:40,,37.54713374,127.0466298,C:\projects\blackmamba\media\570_01.jpg,C:\projects\blackmamba\media\570_02.jpg,성수1가2동평면 공영주차장,서울 성동구 성수동1가 13-22,37.55002504,127.0497336
4,난포,성수동,한식,곰탕,곰국,한식,"깔끔한, 점심식사, 저녁식사, 저녁, 점심, 칸막이, 바테이블, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 668-79,0507-1425-1540,제철회묵은지말이,"13,000원",강된장쌈밥,"12,000원",https://www.diningcode.com/profile.php?rid=GwT3CemQ7wpS,3.9,77,56,0.9,270.27, 11:00 - 21:30, 15:50 - 17:00, 11:00 - 21:30, 15:50 - 17:00, 11:00 - 21:30, 15:50 - 17:00, 11:00 - 21:30, 15:50 - 17:00, 11:00 - 21:30, 15:50 - 17:00, 11:00 - 21:30, 15:50 - 17:00, 11:00 - 21:30, 15:50 - 17:00,37.54702123,127.0427325,C:\projects\blackmamba\media\4_01.jpg,C:\projects\blackmamba\media\4_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
108,소바식당,성수,일식,소바,소바,냉소바,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심, 아침",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 315-49,02-6339-1552,"전복,단새우 냉소바","15,000원",한우양지온면(특),"14,000원",https://www.diningcode.com/profile.php?rid=cYF7clkvXwwU,3.8,79,43,0.9,270.18, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00,37.54301365,127.0549952,C:\projects\blackmamba\media\108_01.jpg,C:\projects\blackmamba\media\108_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
283,성수다락,성수동,양식,오므라이스,오므라이스,가츠산도,"예쁜, 점심식사, 저녁식사, 셀프바, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 328-15,0507-1349-9197,다락오므라이스,"16,000원",다락로제파스타,"18,000원",https://www.diningcode.com/profile.php?rid=wvVRBGEF8K3a,4,75,45,0.9,270, 11:30 - 21:15,, 11:30 - 21:15,, 11:30 - 21:15,, 11:30 - 21:15,, 11:30 - 21:15,, 11:30 - 21:15,, 11:30 - 21:15,,37.5399248,127.0562311,C:\projects\blackmamba\media\283_01.jpg,C:\projects\blackmamba\media\283_02.jpg,뚝도시장 노상공영주차장,서울 성동구 성수동2가 335-166,37.53819962,127.0545791
609,코끼리베이글 성수,성수,카페,베이글,베이글,샌드위치,"캐주얼한, 아침식사, 점심식사, 저녁식사, 점심, 아침, 테라스, 테이크아웃, 야외테라스",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 278-53,02-498-0077,모카,"5,800원",딥초콜렛,"5,800원",https://www.diningcode.com/profile.php?rid=SnyY20AoGrgK,4.2,80,40,0.8,268.8, 08:30 - 21:00,, 08:30 - 21:00,, 08:30 - 21:00,, 08:30 - 21:00,, 08:30 - 21:00,, 08:30 - 21:00,, 08:30 - 21:00,,37.54601637,127.0595451,C:\projects\blackmamba\media\609_01.jpg,C:\projects\blackmamba\media\609_02.jpg,KT성수분국 노상공영주차장,서울 성동구 성수동2가 280-50,37.54650084,127.0630074
824,성수족발,성수,한식,족발,족발,막국수,"서민적인, 점심식사, 저녁식사, 저녁, 좌식테이블, 포장가능, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울시 성동구 성수동2가 289-273,02-464-0425,족발 (특대),"50,000원",족발 (대),"45,000원",https://www.diningcode.com/profile.php?rid=zhxMQPl9dpA8,4.1,81,37,0.8,265.68, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00,37.5460229,127.0542141,C:\projects\blackmamba\media\824_01.jpg,C:\projects\blackmamba\media\824_02.jpg,성수2가3동 공영주차장,서울 성동구 광나루로4가길 23,37.54912396,127.0551771
493,서울숲누룽지통닭구이,서울숲,한식,닭요리,누룽지통닭구이,,"서민적인, 저녁식사, 저녁, 야외자리, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 656-940,02-462-9920,누룽지통닭,"24,000원",누룽지 콘치즈,"28,000원",https://www.diningcode.com/profile.php?rid=5RmrkPtQVL2j,4.4,86,30,0.7,264.88, 16:00 - 23:00,, 16:00 - 23:00,, 16:00 - 23:00,, 16:00 - 23:00,, 16:00 - 23:00,, 14:00 - 23:00,, 14:00 - 23:00,,37.5469617,127.0443966,C:\projects\blackmamba\media\493_01.jpg,C:\projects\blackmamba\media\493_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
102,이오로 비스트로,성수,양식,파스타,파스타,,"깔끔한, 점심식사, 저녁식사, 저녁, 점심, 예약가능, 주차",TRUE,FALSE,FALSE,FALSE,TRUE,서울특별시 성동구 성수동2가 314-7,0507-1467-0702,후토마끼,"15,900원",매콤명란파스타,"15,900원",https://www.diningcode.com/profile.php?rid=eg2ngSCOjmRt,4.2,77,32,0.8,258.72, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00,37.54456249,127.0531705,C:\projects\blackmamba\media\102_01.jpg,C:\projects\blackmamba\media\102_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
575,블루보틀 성수점,성수,카페,커피,커피,카페,"깔끔한, 아침식사, 점심식사, 저녁식사, 저녁, 아침, 테이크아웃, 무료주차",TRUE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 656-302,1533-6906,놀라플로트,"8,000원",놀라,"6,600원",https://www.diningcode.com/profile.php?rid=kzRQxLIxbXY1,3.7,77,71,0.9,256.41, 08:00 - 20:30,, 08:00 - 20:30,, 08:00 - 20:30,, 08:00 - 20:30,, 08:00 - 20:30,, 08:00 - 20:30,, 08:00 - 20:30,,37.54805006,127.0456935,C:\projects\blackmamba\media\575_01.jpg,C:\projects\blackmamba\media\575_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
321,윤경양식당,서울숲,일식,돈카츠,돈까스,파스타,"캐주얼한, 점심식사, 저녁식사, 점심, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 668-105,0507-1443-3308,데미그라스 돈까스,"12,800원",치즈 로제 돈까스,"14,800원",https://www.diningcode.com/profile.php?rid=ZJLGqZB3cQRO,3.6,78,45,0.9,252.72, 11:00 - 21:00,, 11:00 - 21:00,, 11:00 - 21:00,, 11:00 - 21:00,, 11:00 - 21:00,, 11:00 - 21:00,, 11:00 - 21:00,,37.54636483,127.0430561,C:\projects\blackmamba\media\321_01.jpg,C:\projects\blackmamba\media\321_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
101,호호식당,성수,일식,일정식,일본가정식,가정식,"깔끔한, 점심식사, 저녁식사, 저녁, 별실, 주차, 배달",TRUE,FALSE,FALSE,TRUE,FALSE,서울시 성동구 성수동1가 668-22,0507-1322-2384,히레가츠정식,"16,000원",우나기동,"22,000원",https://www.diningcode.com/profile.php?rid=0Mj6jAAu47YU,4.1,76,35,0.8,249.28, 11:00 - 21:50, 14:40 - 17:00, 11:00 - 21:50, 14:40 - 17:00, 11:00 - 21:50, 14:40 - 17:00, 11:00 - 21:50, 14:40 - 17:00, 11:00 - 21:50, 14:40 - 17:00, 11:00 - 21:50, 14:40 - 17:00, 11:00 - 21:50, 14:40 - 17:00,37.54711631,127.0439134,C:\projects\blackmamba\media\101_01.jpg,C:\projects\blackmamba\media\101_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
20,솔솥 성수점,성수,한식,솥밥,솥밥,,"깔끔한, 점심식사, 저녁식사, 주차",TRUE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 315-25,0507-1339-2007,스테이크솥밥,"17,000원",도미관자솥밥,"17,000원",https://www.diningcode.com/profile.php?rid=4G3KnEhNz1zG,4.3,82,27,0.7,246.82, 11:30 - 21:00, 15:00 - 17:00,휴무일,,휴무일,, 11:30 - 21:00, 15:00 - 17:00, 11:30 - 21:00, 15:00 - 17:00, 11:30 - 21:00, 15:00 - 17:00, 11:30 - 21:00, 15:00 - 17:00,37.54320984,127.0553023,C:\projects\blackmamba\media\20_01.jpg,C:\projects\blackmamba\media\20_02.jpg,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,37.54307999,127.0606405
2,소녀방앗간,성수동,한식,백반,한식,산나물밥,"깔끔한, 점심식사, 저녁식사, 저녁, 점심, 무료주차",TRUE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-35,0507-1348-0781,산나물밥,"8,800원",산나물밥과 고춧가루제육볶음,"12,800원",https://www.diningcode.com/profile.php?rid=mMyeOMLzOOAK,3.9,79,31,0.8,246.48, 11:30 - 20:30, 15:00 - 17:00, 11:30 - 20:30, 15:00 - 17:00, 11:30 - 20:30, 15:00 - 17:00, 11:30 - 20:30, 15:00 - 17:00, 11:30 - 20:30, 15:00 - 17:00, 11:30 - 20:30, 15:00 - 17:00, 11:30 - 20:30, 15:00 - 17:00,37.54656148,127.0441247,C:\projects\blackmamba\media\2_01.jpg,C:\projects\blackmamba\media\2_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
582,서울앵무새,성수,카페,카페,카페,디저트,"예쁜, 아침식사, 점심식사, 저녁식사, 저녁, 점심, 아침, 테이크아웃, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 685-213,0507-1393-2042,믹스주스(오렌지),"8,000원",믹스주스(옐로우),"8,000원",https://www.diningcode.com/profile.php?rid=7Vr8MwUymwUz,3.7,74,43,0.9,246.42, 08:00 - 23:00,, 08:00 - 23:00,, 08:00 - 23:00,, 08:00 - 23:00,, 08:00 - 23:00,, 08:00 - 23:00,, 08:00 - 23:00,,37.54829754,127.0436025,C:\projects\blackmamba\media\582_01.jpg,C:\projects\blackmamba\media\582_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
16,쵸리상경,서울숲,한식,솥밥,솥밥,스테이크솥밥,"깔끔한, 점심식사, 저녁식사, 저녁, 점심, 바테이블",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-79,0507-1492-0157,연어 솥밥,"18,000원",전복장 솥밥,"19,000원",https://www.diningcode.com/profile.php?rid=oRTAZtaqtGrP,4.4,80,28,0.7,246.4, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00,37.54702123,127.0427325,C:\projects\blackmamba\media\16_01.jpg,C:\projects\blackmamba\media\16_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
28,버섯집,성수동,한식,백반,버섯불고기전골,버섯탕,"깔끔한, 점심식사, 저녁식사, 저녁, 점심",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-34,02-3409-8887,버섯생불고기전골,"17,000원",얼큰버섯탕,"9,000원",https://www.diningcode.com/profile.php?rid=CjLsQ2H8A9hX,4.4,80,22,0.7,246.4, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00,37.54669303,127.0441345,C:\projects\blackmamba\media\28_01.jpg,C:\projects\blackmamba\media\28_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
592,테디스오븐,서울숲,카페,디저트,파블로바,프랑스식,"예쁜, 점심식사, 저녁식사, 저녁, 테라스, 야외테라스",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-50,070-4900-1100,테디스라떼,"6,800원",아메리카노,"5,500원",https://www.diningcode.com/profile.php?rid=9kR6NfkUx3Wn,4.2,73,34,0.8,245.28, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,,37.54645467,127.0435198,C:\projects\blackmamba\media\592_01.jpg,C:\projects\blackmamba\media\592_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
574,카멜,성수,카페,커피,커피,카페,"예쁜, 아침식사, 점심식사, 테이크아웃, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 570-1,0507-1417-0492,Camel coffee (카멜커피),"5,500원",Americano (아메리카노),"5,000원",https://www.diningcode.com/profile.php?rid=BkUWWoRBmMxW,4.2,83,23,0.7,244.02, 10:00 - 18:00,, 10:00 - 18:00,, 10:00 - 18:00,, 10:00 - 18:00,, 10:00 - 18:00,, 10:00 - 18:00,, 10:00 - 18:00,,37.53724097,127.0558935,C:\projects\blackmamba\media\574_01.jpg,C:\projects\blackmamba\media\574_02.jpg,성수2가1동 공영주차장,서울 성동구 성덕정길 115,37.5371748,127.0561628
